id;jumlah_barang_dipesan;jumlah_barang_masuk;batch;tgl_expired;keterangan;harga_beli;status_barang_masuk;beli_id;barang_id;created_at;updated_at
1;5;5;G02KQ6;2027-11-30;NULL;181148;LENGKAP;1;331;NULL;NULL
7;100;100;KPH37454;2028-07-01;NULL;110000;LENGKAP;3;791;NULL;NULL
8;100;100;TSJ98454;2030-08-01;NULL;24000;LENGKAP;3;1044;NULL;NULL
13;84;84;F1460484;2028-04-01;NULL;73500;LENGKAP;4;159;NULL;NULL
14;300;300;S23250142;2027-09-01;NULL;4800;LENGKAP;5;164;NULL;NULL
15;30;30;S23250142;2027-09-01;NULL;4800;LENGKAP;5;164;NULL;NULL
16;240;240;LSVAI5012;2028-09-01;NULL;9975;LENGKAP;6;1118;NULL;NULL
19;2000;2000;GJ0J55A;2027-10-01;NULL;12080;LENGKAP;8;878;NULL;NULL
20;2000;2000;G70J55A;2027-10-01;NULL;12080;LENGKAP;9;878;NULL;NULL
21;1500;1500;J10507;2029-10-08;NULL;14685;LENGKAP;10;4;NULL;NULL
22;400;400;JR1087;2028-10-30;NULL;9300;LENGKAP;11;1233;NULL;NULL
23;100;100;JR1088;2028-10-30;NULL;9300;LENGKAP;11;1233;NULL;NULL
24;108;108;GD054;2027-07-31;NULL;24454;LENGKAP;12;1271;NULL;NULL
30;24;24;5A04;2028-09-30;NULL;60919;LENGKAP;14;227;NULL;NULL
31;1;1;5A04;2028-09-30;NULL;60919;LENGKAP;14;227;NULL;NULL
32;25;25;A3309;2028-08-30;NULL;62919;LENGKAP;14;229;NULL;NULL
33;100;100;KR42130;2027-11-30;NULL;165500;LENGKAP;14;324;NULL;NULL
35;100;100;PIJ92954;2027-08-01;NULL;200000;LENGKAP;16;72;NULL;NULL
37;100;100;PIC64054;2027-02-01;NULL;80000;LENGKAP;16;901;NULL;NULL
50;42;42;KTMYCJ51306;2027-02-28;NULL;225000;LENGKAP;19;1120;NULL;NULL
51;101;101;KCMYCD52457;2027-03-31;NULL;18000;LENGKAP;19;1244;NULL;NULL
52;50;50;TPH36053;2029-07-01;NULL;70000;LENGKAP;20;1144;NULL;NULL
54;5;5;L0555736;2027-11-25;NULL;983941;LENGKAP;21;499;NULL;NULL
55;5;5;L0642758;2028-01-08;NULL;983941;LENGKAP;21;499;NULL;NULL
56;10;10;L0474384;2028-05-03;NULL;582320;LENGKAP;21;497;NULL;NULL
59;96;96;52226298X1;2027-08-09;NULL;7632;LENGKAP;21;500;NULL;NULL
60;288;288;52066298G124;2027-07-24;NULL;10895;LENGKAP;22;495;NULL;NULL
65;100;100;2509062;2027-09-03;NULL;16556;LENGKAP;23;543;NULL;NULL
67;100;100;2510062;2027-10-02;NULL;7072;LENGKAP;23;547;NULL;NULL
68;100;100;2511062;2027-11-05;NULL;15766;LENGKAP;23;1182;NULL;NULL
69;35;35;2510181;2027-10-14;NULL;13001;LENGKAP;23;1409;NULL;NULL
70;65;65;2510181;2027-10-31;NULL;13001;LENGKAP;23;1409;NULL;NULL
71;30;30;F1460500;2028-04-01;NULL;73500;LENGKAP;24;159;NULL;NULL
73;10780;10780;2A1A5L027;2027-12-30;NULL;6913;LENGKAP;26;810;NULL;NULL
74;2160;2160;2A1A5L027;2027-12-31;NULL;6913;LENGKAP;27;810;NULL;NULL
75;1560;1560;2A1A5L027;2027-12-31;NULL;6913;LENGKAP;28;810;NULL;NULL
76;6500;6500;2A1A5L026;2027-12-31;NULL;6913;LENGKAP;28;810;NULL;NULL
79;100;100;T 08078 BE;2027-08-01;NULL;11261;LENGKAP;29;1070;NULL;NULL
80;2000;2000;F252I05;2027-12-03;NULL;7656;LENGKAP;30;153;NULL;NULL
82;18000;18000;F252I05;2027-12-03;NULL;7656;LENGKAP;32;153;NULL;NULL
83;120;120;LX2U;2027-10-31;NULL;146074;LENGKAP;33;1145;NULL;NULL
84;12;12;LX2U;2027-03-31;NULL;146074;LENGKAP;33;1145;NULL;NULL
85;60;60;HX5A288V;2029-09-30;NULL;24150;LENGKAP;34;1260;NULL;NULL
87;200;200;5X07181;2028-01-31;NULL;29900;LENGKAP;35;85;NULL;NULL
90;30;30;5DN057A;2027-06-30;NULL;132777;LENGKAP;37;83;NULL;NULL
91;2000;2000;I51710W;2027-09-16;NULL;2670;LENGKAP;38;282;NULL;NULL
93;270;270;S2360234;2027-08-01;NULL;4000;LENGKAP;39;169;NULL;NULL
94;930;930;S2360260;2027-09-01;NULL;4000;LENGKAP;39;169;NULL;NULL
98;300;300;SCL73154;2029-10-01;NULL;6000;LENGKAP;41;854;NULL;NULL
99;1000;1000;LCL91054;2028-10-01;NULL;7000;LENGKAP;41;1228;NULL;NULL
100;1000;1000;LCL92954;2030-10-01;NULL;10000;LENGKAP;41;1229;NULL;NULL
104;54;54;PSJ86554;2027-08-01;NULL;200000;LENGKAP;43;62;NULL;NULL
105;46;46;PSJ89454;2027-08-01;NULL;200000;LENGKAP;43;62;NULL;NULL
106;20;20;PSD42554;2027-03-01;NULL;3000000;LENGKAP;43;40;NULL;NULL
137;268;268;471025A;2028-02-01;NULL;140000;LENGKAP;50;689;NULL;NULL
138;32;32;471025A;2028-02-01;NULL;140000;LENGKAP;50;689;NULL;NULL
139;20;20;56G4322;2027-06-30;NULL;135000;LENGKAP;50;122;NULL;NULL
140;176;176;56I4121;2028-08-31;NULL;9818;LENGKAP;50;869;NULL;NULL
141;24;24;56I4121;2028-08-31;NULL;9818;LENGKAP;50;869;NULL;NULL
142;200;200;25IA023;2029-09-30;NULL;44600;LENGKAP;51;95;NULL;NULL
144;200;200;2509276;2027-09-25;NULL;4280;LENGKAP;52;542;NULL;NULL
146;500;500;2511104;2027-11-11;NULL;14417;LENGKAP;52;544;NULL;NULL
147;50;50;5DN057A;2027-06-30;NULL;132777;LENGKAP;53;83;NULL;NULL
148;50;50;5DN010A;2027-06-30;NULL;114209;LENGKAP;53;80;NULL;NULL
149;24;24;25E006;2027-05-31;NULL;329048;LENGKAP;53;209;NULL;NULL
153;30;30;PIJ97554;2027-08-01;NULL;400000;LENGKAP;54;61;NULL;NULL
154;5500;5500;LCM04454;2027-11-01;NULL;6000;LENGKAP;55;1230;NULL;NULL
155;2500;2500;LCM04354;2027-11-01;NULL;6000;LENGKAP;55;1230;NULL;NULL
156;100;100;SCK6805;2027-09-01;NULL;50000;LENGKAP;55;816;NULL;NULL
158;50;50;5EI1937;2028-09-30;NULL;20748;LENGKAP;56;950;NULL;NULL
159;50;50;JX5A098;2030-10-31;NULL;168971;LENGKAP;56;949;NULL;NULL
160;200;200;5NK005;2027-10-31;NULL;10143;LENGKAP;57;1138;NULL;NULL
161;20;20;B250068C;2028-01-01;NULL;427900;LENGKAP;58;1222;NULL;NULL
162;240;240;2511095;2027-11-10;NULL;13001;LENGKAP;59;1409;NULL;NULL
163;120;120;2509001;2027-08-31;NULL;16668;LENGKAP;59;1279;NULL;NULL
164;1000;1000;O1860046;2029-10-01;NULL;2900;LENGKAP;60;720;NULL;NULL
165;2040;2040;F252I41;2027-12-29;NULL;7656;LENGKAP;61;153;NULL;NULL
166;19960;19960;F252I42;2027-12-29;NULL;7656;LENGKAP;61;153;NULL;NULL
167;9600;9600;K253H41;2027-08-18;NULL;2662;LENGKAP;62;150;NULL;NULL
168;2400;2400;K253H42;2027-08-18;NULL;2662;LENGKAP;62;150;NULL;NULL
169;50;50;E25H0387A;2027-08-31;NULL;267500;LENGKAP;63;1152;NULL;NULL
170;24;24;E25EH0195A;2028-04-30;NULL;275000;LENGKAP;63;717;NULL;NULL
171;29;29;E25F0250A;2027-06-30;NULL;350000;LENGKAP;63;885;NULL;NULL
172;38;38;E25F0258A;2027-06-30;NULL;350000;LENGKAP;63;885;NULL;NULL
173;180;180;5ei1824;2027-09-30;NULL;34400;LENGKAP;64;114;NULL;NULL
174;85;85;N2508023;2027-08-01;NULL;60000;LENGKAP;65;416;NULL;NULL
175;1000;1000;2530804;2028-07-21;NULL;4477;LENGKAP;66;1523;NULL;NULL
