id;nomor_faktur;nomor_pemesanan;tgl_faktur;tgl_terima_faktur;keterangan_faktur;status_faktur;supplier_id;created_at;updated_at
1;5925018075;15/MJP/XII/25;2025-12-29;2026-01-02;NULL;DONE;1;NULL;NULL
2;5925017716;03/MJP/XII/2025;2025-12-22;2026-01-02;NULL;DONE;1;NULL;NULL
3;IVC/SBY/251102112;32/MJP/XI/25;2025-11-28;2026-01-02;NULL;DONE;36;NULL;NULL
4;2516061014619;13/MJP/XII/251;2025-12-23;2026-01-02;NULL;DONE;8;NULL;NULL
5;2516061014814;13/MJP/XII/252;2025-12-29;2026-01-02;NULL;DONE;8;NULL;NULL
6;2516061014763;13/MJP/XII/253;2025-12-27;2026-01-02;NULL;DONE;8;NULL;NULL
7;250111022209;21/MJP/X/2025h;2025-11-27;2026-01-02;NULL;DONE;30;NULL;NULL
8;25111020555;21/MJP/X/2025;2025-10-31;2026-01-02;NULL;DONE;30;NULL;NULL
9;250111020559;78/MJP/X/2025;2025-10-31;2026-01-02;NULL;DONE;30;NULL;NULL
10;DHN2512/0059;24/MJP/XI/25;2025-12-10;2026-01-02;NULL;DONE;22;NULL;NULL
11;PMJ01/01/FP/2512/02449;52/MJP/XII/2025o;2025-12-15;2026-01-02;NULL;DONE;4;NULL;NULL
12;PMJ01/01/FP/2512/02810;52/MJP/XII/2025r;2025-12-17;2026-01-02;NULL;DONE;4;NULL;NULL
13;2516061014815;12/MJP/XII/2025;2025-12-29;2026-01-02;NULL;DONE;8;NULL;NULL
14;PMJ01/01/FP/2512/02838;52/MJP/XII/2025;2025-12-18;2026-01-02;NULL;DONE;4;NULL;NULL
16;IVC/SBY/251200714;43/MJP/XII/2025;2025-12-11;2026-01-02;NULL;DONE;36;NULL;NULL
19;12525014851;14/MJP/XII/25y;2025-12-29;2026-01-03;NULL;DONE;26;NULL;NULL
20;12525014943;14/MJP/XII/25z;2025-12-31;2026-01-03;NULL;DONE;26;NULL;NULL
21;1810132565;44/MJP/XII/2025;2025-12-18;2026-01-03;NULL;DONE;6;NULL;NULL
22;1810132568;01/MJP/XII/25;2025-12-18;2026-01-03;NULL;DONE;6;NULL;NULL
23;2516061014944;16/MJP/XII/25;2025-12-31;2026-01-05;NULL;DONE;8;NULL;NULL
24;2516061014925;13/MJP/XII/25;2025-12-31;2026-01-05;NULL;DONE;8;NULL;NULL
25;2516061014997;18/MJP/XII/25;2025-12-31;2026-01-05;NULL;DONE;8;NULL;NULL
26;25/SI/HO/12/00509;44/MJP/VI/25;2025-12-18;2026-01-07;NULL;DONE;49;NULL;NULL
27;25/SI/HO/12/00510;47/MJP/XII/25;2025-12-18;2026-01-07;NULL;DONE;49;NULL;NULL
