id;nama;created_at;updated_at
1;ACTAVIS;NULL;NULL
2;AFIAT;NULL;NULL
3;AFIFARMA;NULL;NULL
4;AMAROX;NULL;NULL
5;ARTO FARMA;NULL;NULL
8;BAYER;NULL;NULL
9;BBRAUN;NULL;NULL
10;BERLICO MULIA FARMA;NULL;NULL
11;BERNO;NULL;NULL
12;BHARAD INDIA;NULL;NULL
14;BOEHRINGER INGELHEIM;NULL;NULL
15;CENDO;NULL;NULL
17;COBRA;NULL;NULL
18;COMBIPHAR;NULL;NULL
19;CORONET;NULL;NULL
21;COSMOMED;NULL;NULL
22;DAN LAIN-LAIN;NULL;NULL
24;DARYA VARIA;NULL;NULL
25;DEXAMEDICA;NULL;NULL
26;DIPA;NULL;NULL
27;DKT INTERNATIONAL;NULL;NULL
28;EASY TOUCH;NULL;NULL
29;EMJEBE;NULL;NULL
30;ERELLA;NULL;NULL
31;ERITA;NULL;NULL
32;ERLIMPEX;NULL;NULL
33;ERPHA;NULL;NULL
34;ETERCON;NULL;NULL
35;ETHICA;NULL;NULL
37;FARENHEIT;NULL;NULL
38;FIRST MEDIPHARMA;NULL;NULL
40;FRESENIUS KABI;NULL;NULL
41;GALENIUM PHARMASIA LAB;NULL;NULL
42;GLAXOSMITHKLINE;NULL;NULL
43;GLOBAL MULTI PHARMALAB;NULL;NULL
44;GRAHA FARMA;NULL;NULL
45;GRATIA HUSADA;NULL;NULL
46;HARSEN;NULL;NULL
48;HENSON FARMA;NULL;NULL
49;HEXPARM;NULL;NULL
50;HISAMITSU;NULL;NULL
51;HOLI;NULL;NULL
52;IFARS;NULL;NULL
53;IKA PHARMINDO;NULL;NULL
54;IMEDCO;NULL;NULL
55;IMFRAMIND FARMASI INDUSTRI;NULL;NULL
56;INDOFARMA;NULL;NULL
57;INFION;NULL;NULL
58;INTERBAT;NULL;NULL
59;ITRASAL;NULL;NULL
60;J & J;NULL;NULL
61;KALBE;NULL;NULL
62;KIMIA FARMA;NULL;NULL
63;KONIMEX;NULL;NULL
64;LAPI LABORATORIES;NULL;NULL
66;MAHAKAM BETA FARMA;NULL;NULL
67;MARIN;NULL;NULL
69;MEDIKON;NULL;NULL
70;MEGA MEDICA PHARMACEUTICALS, PT;NULL;NULL
71;MEIJI INDONESIA;NULL;NULL
72;MENARINI INDRIA LAB;NULL;NULL
73;MEPRO;NULL;NULL
74;MERCK;NULL;NULL
75;MERSI;NULL;NULL
76;MOLEX;NULL;NULL
77;MULIA FARMA SUCI;NULL;NULL
78;MUNDIPHARMA;NULL;NULL
79;NOVAPHARIN;NULL;NULL
80;NOVELL;NULL;NULL
82;NU LAB;NULL;NULL
84;OGB BETA;NULL;NULL
85;OGB DEXA;NULL;NULL
86;ONEHEALTH;NULL;NULL
87;ONEMED;NULL;NULL
88;OTSUKA;NULL;NULL
90;P & G;NULL;NULL
91;PFIZER;NULL;NULL
92;PHAPROS;NULL;NULL
94;PIM;NULL;NULL
95;PT MEGA LIFESCIENCES;NULL;NULL
96;PT USFI;NULL;NULL
97;PT. TROPICA MAS PHARMACEUTICALS;NULL;NULL
98;PYRIDAM FARMA;NULL;NULL
100;RAMA;NULL;NULL
101;ROHTO LABORATORIES INDONESIA;NULL;NULL
102;SAMCO OGB;NULL;NULL
103;SANBE;NULL;NULL
104;SANOFI;NULL;NULL
105;SATORIA;NULL;NULL
106;SEDEKAH;NULL;NULL
107;SELES;NULL;NULL
108;SOHO;NULL;NULL
109;SOLAS;NULL;NULL
110;TANABE INDONESIA;NULL;NULL
111;TAWON JAYA MAKASAR;NULL;NULL
112;TEMPO SCAN PASIFIC;NULL;NULL
113;THAISO;NULL;NULL
114;TOP POINT;NULL;NULL
115;TRIFA;NULL;NULL
116;TRIMAN;NULL;NULL
117;TUNGGAL IDAMAN ABDI;NULL;NULL
118;ULTRA SAKTI;NULL;NULL
120;WINNER;NULL;NULL
121;ZENITH;NULL;NULL
122;ANDALAN;NULL;NULL
123;GALDERMA;NULL;NULL
126;HALEON;NULL;NULL
127;NUTRICIA;NULL;NULL
128;LACTACYD;NULL;NULL
130;DANCOS FARMA;NULL;NULL
132;MADURASA;NULL;NULL
133;DOHO;NULL;NULL
134;ESSITY;NULL;NULL
135;AIR MANCUR;NULL;NULL
136;Beiersdorf AG;NULL;NULL
137;PROTOS;NULL;NULL
138;MECCAYA;NULL;NULL
139;ROMSON;NULL;NULL
140;SAKA FARMA;NULL;NULL
141;PHAROS;NULL;NULL
142;NOVARTIS;NULL;NULL
143;PT SANO GRATIA FARMA;NULL;NULL
144;SAMPHARINDO;NULL;NULL
146;BINTANG SHAFWAN;NULL;NULL
147;ASTELLAS;NULL;NULL
148;DELTO;NULL;NULL
149;PT PRATAPA NIRMALA;NULL;NULL
150;HORE;NULL;NULL
151;CAP LANG;NULL;NULL
