id;jumlah_barang_dipesan;jumlah_barang_keluar;batch;tgl_expired;keterangan;harga_jual;status_barang_keluar;jual_id;barang_id;created_at;updated_at
1;30;30;E50626N;2027-05-16;NULL;24704;LENGKAP;1;1225;NULL;NULL
2;300;300;B92E55B;2027-05-23;NULL;14303;LENGKAP;1;451;NULL;NULL
3;2;2;PIJ83954;2027-08-01;NULL;243000;LENGKAP;1;73;NULL;NULL
6;5;5;76052042;2026-11-30;NULL;85073;LENGKAP;1;1192;NULL;NULL
7;3;3;PIH74654;2027-07-01;NULL;260000;LENGKAP;2;72;NULL;NULL
8;100;100;S2360201;2027-07-01;NULL;6000;LENGKAP;2;169;NULL;NULL
9;20;20;53599;2028-08-30;NULL;59400;LENGKAP;3;520;NULL;NULL
10;20;20;2504258;2027-04-29;NULL;18010;LENGKAP;3;1262;NULL;NULL
11;20;20;FX5A262;2027-07-31;NULL;82350;LENGKAP;3;1197;NULL;NULL
12;100;100;1508059;2027-08-30;NULL;14540;LENGKAP;3;493;NULL;NULL
14;2;2;PSD41854;2027-03-01;NULL;920000;LENGKAP;3;40;NULL;NULL
15;1;1;E24J0411A;2026-10-31;NULL;1276985;LENGKAP;3;180;NULL;NULL
18;6;6;E24G0263A;2027-07-31;NULL;380000;LENGKAP;5;717;NULL;NULL
19;4;4;PID93354;2030-03-01;NULL;205000;LENGKAP;5;60;NULL;NULL
21;50;50;PIC69454;2030-02-01;NULL;70000;LENGKAP;5;56;NULL;NULL
22;12;12;PIH59853;2026-07-01;NULL;224780;LENGKAP;5;61;NULL;NULL
23;7;7;E25F0290A;2027-06-30;NULL;450000;LENGKAP;5;929;NULL;NULL
25;3;3;PSD41954;2027-03-01;NULL;920000;LENGKAP;3;40;NULL;NULL
26;2;2;E25C0088A;2028-02-28;NULL;500000;LENGKAP;7;917;NULL;NULL
28;13;13;PIC69454;2030-02-01;NULL;70000;LENGKAP;7;56;NULL;NULL
29;1;1;PIJ90254;2030-08-01;NULL;70000;LENGKAP;7;56;NULL;NULL
30;1;1;PIJ91554;2030-08-01;NULL;70000;LENGKAP;7;56;NULL;NULL
31;10;10;E25E0198A;2027-05-31;NULL;256500;LENGKAP;7;885;NULL;NULL
32;3;3;PIF13554;2030-05-01;NULL;454454;LENGKAP;7;57;NULL;NULL
36;240;240;450801;2029-07-31;NULL;8804;LENGKAP;9;686;NULL;NULL
37;0;0;PSD41954;2027-03-01;NULL;920000;LENGKAP;10;40;NULL;NULL
41;10;10;I26508;2028-09-11;NULL;16000;LENGKAP;11;18;NULL;NULL
42;10;10;5690316T;2028-08-30;NULL;8500;LENGKAP;11;596;NULL;NULL
43;10;10;J36402;2027-10-16;NULL;11476;LENGKAP;11;3;NULL;NULL
47;2;2;KI03102;2028-04-30;NULL;31255;LENGKAP;14;318;NULL;NULL
48;2;2;2508273;2027-08-27;NULL;11624;LENGKAP;14;1297;NULL;NULL
49;6;6;S23250115;2027-08-01;NULL;5862;LENGKAP;14;164;NULL;NULL
50;6;6;K0110501;2027-10-31;NULL;7500;LENGKAP;14;1002;NULL;NULL
51;6;6;SKL39854;2027-10-01;NULL;33000;LENGKAP;14;953;NULL;NULL
52;5;5;2509-01-176;2027-09-30;NULL;35247;LENGKAP;14;387;NULL;NULL
53;1;1;INO1Z05;2027-07-01;NULL;368750;LENGKAP;14;404;NULL;NULL
54;2;2;9501020;2030-01-31;NULL;22314;LENGKAP;14;616;NULL;NULL
56;1;1;CF0271;2027-06-30;NULL;73412;LENGKAP;14;599;NULL;NULL
58;1;1;C 09002 BE;2027-09-01;NULL;107499;LENGKAP;14;508;NULL;NULL
60;2;2;55L0421;2027-12-30;NULL;44000;LENGKAP;14;138;NULL;NULL
61;1;1;A0505501;2029-05-31;NULL;31395;LENGKAP;15;577;NULL;NULL
63;1;1;J10507;2029-10-08;NULL;14400;LENGKAP;15;4;NULL;NULL
64;6;6;LCL90854;2028-10-01;NULL;3330;LENGKAP;15;1228;NULL;NULL
65;2;2;KPC05054;2028-02-01;NULL;115000;LENGKAP;15;791;NULL;NULL
69;6;6;2561021;2027-05-31;NULL;16660;LENGKAP;15;1221;NULL;NULL
70;6;6;2549031;2029-07-31;NULL;14736;LENGKAP;15;1181;NULL;NULL
71;3;3;FX5A198;2030-07-31;NULL;211213;LENGKAP;15;949;NULL;NULL
72;2;2;IR1025;2029-09-30;NULL;14088;LENGKAP;15;868;NULL;NULL
73;2;2;56H4115;2028-07-31;NULL;13622;LENGKAP;15;869;NULL;NULL
74;2;2;56E0623;2028-05-30;NULL;68000;LENGKAP;15;684;NULL;NULL
75;12;12;M46241203;2029-11-01;NULL;7182;LENGKAP;15;1264;NULL;NULL
76;3;3;S3660024;2027-09-01;NULL;17000;LENGKAP;15;1224;NULL;NULL
77;1;1;F3060124;2027-09-01;NULL;135000;LENGKAP;15;892;NULL;NULL
78;3;3;O.0460153;2029-07-31;NULL;14500;LENGKAP;15;166;NULL;NULL
79;3;3;O1660030;2027-03-30;NULL;11600;LENGKAP;15;163;NULL;NULL
80;2;2;19203501;2030-03-31;NULL;46037;LENGKAP;15;582;NULL;NULL
81;6;6;25C01963;2028-03-28;NULL;30000;LENGKAP;15;727;NULL;NULL
82;3;3;A0305501;2029-05-31;NULL;28277;LENGKAP;15;592;NULL;NULL
