id;mutationable_type;mutationable_id;tgl_mutation;barang_id;batch;tgl_expired;stock_awal;stock_masuk;stock_keluar;stock_retur_jual;stock_retur_beli;stock_rusak;stock_akhir;created_at;updated_at
2;App\Models\BarangStockAwal;2;2025-12-30;948;D2398104;2027-01-31;0;3;0;0;0;0;3;NULL;NULL
3;App\Models\BarangStockAwal;3;2025-12-30;948;D2398101;2027-01-31;0;1;0;0;0;0;1;NULL;NULL
6;App\Models\BarangStockAwal;6;2025-12-30;11;I26504;2028-09-10;0;388;0;0;0;0;388;NULL;NULL
7;App\Models\BarangStockAwal;7;2025-12-30;18;I26508;2028-09-11;0;236;0;0;0;0;236;NULL;NULL
8;App\Models\BarangStockAwal;8;2025-12-30;19;F10504;2028-06-05;0;243;0;0;0;0;243;NULL;NULL
9;App\Models\BarangStockAwal;9;2025-12-30;1290;KJ33502;2028-10-16;0;230;0;0;0;0;230;NULL;NULL
13;App\Models\BarangStockAwal;13;2025-12-30;14;B26506;2028-02-13;0;84;0;0;0;0;84;NULL;NULL
16;App\Models\BarangStockAwal;16;2025-12-30;6;D46501;2028-04-23;0;48;0;0;0;0;48;NULL;NULL
17;App\Models\BarangStockAwal;17;2025-12-30;6;I36520;2028-09-21;0;200;0;0;0;0;200;NULL;NULL
18;App\Models\BarangStockAwal;18;2025-12-30;1015;K38501;2028-11-20;0;564;0;0;0;0;564;NULL;NULL
19;App\Models\BarangStockAwal;19;2025-12-30;1015;I58502;2028-09-30;0;12;0;0;0;0;12;NULL;NULL
20;App\Models\BarangStockAwal;20;2025-12-30;12;E36509;2028-05-21;0;77;0;0;0;0;77;NULL;NULL
21;App\Models\BarangStockAwal;21;2025-12-30;12;J56502;2028-11-01;0;288;0;0;0;0;288;NULL;NULL
22;App\Models\BarangStockAwal;22;2025-12-30;3;J36402;2027-10-16;0;26;0;0;0;0;26;NULL;NULL
23;App\Models\BarangStockAwal;23;2025-12-30;3;J46506;2028-10-29;0;120;0;0;0;0;120;NULL;NULL
26;App\Models\BarangStockAwal;26;2025-12-30;1003;G57503;2028-07-31;0;120;0;0;0;0;120;NULL;NULL
27;App\Models\BarangStockAwal;27;2025-12-30;1003;G57502;2028-07-30;0;493;0;0;0;0;493;NULL;NULL
28;App\Models\BarangStockAwal;28;2025-12-30;10;L27301;2026-12-12;0;250;0;0;0;0;250;NULL;NULL
29;App\Models\BarangStockAwal;29;2025-12-30;10;A17402;2027-01-04;0;159;0;0;0;0;159;NULL;NULL
31;App\Models\BarangStockAwal;31;2025-12-30;16;B30506;2029-02-22;0;203;0;0;0;0;203;NULL;NULL
32;App\Models\BarangStockAwal;32;2025-12-30;17;G10506;2029-07-09;0;40;0;0;0;0;40;NULL;NULL
33;App\Models\BarangStockAwal;33;2025-12-30;2;H50502;2029-09-02;0;164;0;0;0;0;164;NULL;NULL
34;App\Models\BarangStockAwal;34;2025-12-30;9;J30514;2029-10-25;0;420;0;0;0;0;420;NULL;NULL
35;App\Models\BarangStockAwal;35;2025-12-30;1042;02724H07B;2026-07-31;0;10;0;0;0;0;10;NULL;NULL
36;App\Models\BarangStockAwal;36;2025-12-30;1042;02724H08B;2026-07-31;0;3;0;0;0;0;3;NULL;NULL
37;App\Models\BarangStockAwal;37;2025-12-30;1042;02724H07B;2026-07-30;0;1;0;0;0;0;1;NULL;NULL
38;App\Models\BarangStockAwal;38;2025-12-30;1155;02825A01B;2026-12-30;0;5;0;0;0;0;5;NULL;NULL
